"Esd";"GKY_S";"GKX_S"
403;462273;100836
404;461920;100653
405;461879;102171
406;442381;130094
407;592169;153389
408;408705;149767
409;392578;141016
410;438724;85580
411;524321;76685
412;461813;116969
413;571895;164309
414;416895;57973
415;529555;155549
416;422472;71222
417;459274;64626
418;532412;146227
419;476961;114167
420;477201;114231
421;476498;113997
422;446547;94619
423;481813;101502
424;549859;157460
425;549626;153787
426;550370;158481
427;549815;157438
428;549786;157221
429;549297;155952
430;550616;157044
431;550099;157624
432;549976;157418
433;549956;157601
434;550265;157825
435;549845;157270
436;550753;157749
437;550144;157278
438;548727;156885
439;549858;157317
440;509261;135114
441;549783;157456
442;549792;157287
443;550051;157387
444;549550;158033
445;550089;157138
446;550033;157207
447;551419;159969
448;549214;156527
449;441993;83550
450;591570;171937
451;455208;130443
452;470755;121017
453;470675;121290
454;578228;168940
455;525078;56346
456;525299;56439
457;525007;56250
458;525963;73518
459;445810;90439
460;505080;89549
461;505004;89555
462;482334;40657
463;518675;146973
464;416217;34813
465;419271;146804
466;552835;79580
467;467038;129530
468;509880;88937
469;489771;45014
470;403537;112861
471;433128;140487
472;483750;111492
473;439633;132570
474;485087;84246
475;484689;84435
476;589180;169377
477;589459;169309
478;439925;109669
479;565231;155496
480;466285;106211
481;458848;62465
482;436910;56454
483;415871;52570
484;572100;163456
485;454495;94139
486;395074;91714
487;395369;91455
488;394592;91032
489;395234;89519
490;474289;66796
491;514069;122499
492;513570;73348
493;513559;73072
494;513330;73257
495;513687;73261
496;543886;111917
497;495226;57949
498;433877;67546
499;588740;140986
500;588561;140992
502;529633;79115
503;432564;53118
504;451755;65843
505;518607;77109
506;417756;97603
507;529431;163331
508;397485;39405
509;579620;164844
510;514946;122229
512;540923;106230
513;388452;43583
514;388554;43742
515;388159;43878
516;388553;43812
517;388590;43695
518;388586;43711
519;388509;43719
520;388660;43701
521;388554;43686
522;388363;43784
524;549709;95991
525;442366;76537
526;491129;150707
527;527559;74929
528;528071;74853
529;452380;94820
530;444958;127553
531;417249;65082
532;418528;43339
533;469462;119330
534;433670;42644
535;431389;80440
536;507506;108635
537;568491;132187
538;458432;66507
539;421973;72937
541;474951;145086
542;415019;42614
543;415018;42550
544;414991;42660
545;418559;74132
546;419732;73591
547;469725;76048
548;546015;99672
549;546056;98368
550;548322;99232
551;497982;58389
552;521533;51491
553;446091;103107
554;447287;102816
555;447207;102623
556;447104;102993
557;521870;130167
558;521772;130258
559;472353;79495
560;410922;39989
561;390002;42360
562;390365;42127
563;441885;129902
564;433545;142252
565;432496;141821
566;416936;61820
567;454191;116730
568;432504;74983
569;432556;74954
570;414970;88964
571;437371;108588
572;411759;33902
573;436674;51402
574;436822;51550
575;436559;51414
576;435727;65980
577;498706;153615
578;521171;49764
579;446337;134175
580;567381;142108
581;565521;141559
582;567333;142181
583;567049;142243
584;567205;142147
585;566955;142120
586;567248;142173
587;567289;142159
588;566823;142205
589;567390;141927
590;567296;142203
591;558977;134788
592;469606;71896
593;417308;92920
594;447084;113056
595;447135;112936
596;517573;163541
597;590517;150679
598;436861;133312
599;437170;133110
600;436937;133290
601;436689;134124
602;436885;133271
603;491202;41344
604;455902;80985
605;437808;67325
606;401853;151263
607;396796;36498
608;396835;36483
609;418687;109454
611;529614;84481
612;560527;142802
613;547902;153485
614;471134;78802
615;471071;78672
616;467821;62907
618;516342;113444
619;483270;106874
620;414443;126202
621;414578;126664
622;531757;117194
624;421674;53811
625;554299;120749
626;554574;121372
627;549702;121662
628;549583;121605
629;527456;91338
630;436827;92534
631;441990;126414
632;512860;51412
633;420614;49690
634;587158;147180
635;533936;156242
637;539820;155148
638;548109;106229
639;484378;116685
640;501934;150875
641;598870;177637
642;464170;76813
643;516345;107942
644;479822;105273
645;524691;96015
646;462411;100854
647;390283;40689
649;526660;141024
650;527670;140180
651;541218;124629
652;545343;111576
653;408928;107353
654;435882;62914
655;436396;63394
656;549996;148209
657;506428;151686
658;506495;151593
659;506503;151615
660;544472;138934
661;545381;138563
662;545323;139331
663;544270;139036
664;532830;132636
665;531846;132504
666;456452;114429
667;436369;138596
668;414422;39178
669;437939;96774
670;459020;59969
671;411489;50105
672;395777;93391
673;395904;93613
674;501865;70609
675;576474;157364
676;577716;157069
677;414644;36254
678;424908;99242
679;436747;131123
680;513301;163051
681;549321;141246
682;475116;89792
683;449858;119000
684;463430;120496
685;417897;128651
686;417706;128651
687;462609;121025
688;411035;150280
689;412237;150005
690;410775;150223
691;543518;80934
692;530610;129739
693;505640;150982
694;505492;151569
695;506396;38852
696;459190;63532
697;458648;63610
698;459110;63546
699;485156;90237
700;485219;88402
701;391809;142842
702;493835;161687
703;392449;43534
704;392631;43599
705;392104;43717
706;392019;43649
707;547660;128555
708;416799;128417
709;416845;128514
710;448461;113859
711;447906;113657
712;448273;113516
713;454114;125594
714;396209;95858
715;551520;100342
716;402002;77104
717;401841;76333
718;569023;162473
719;510072;107405
720;390997;106474
721;403478;88628
722;467294;105607
723;492284;130547
724;510471;159535
725;510476;159242
726;510658;159071
727;520233;99901
728;531068;119973
729;507425;92565
730;507396;92548
731;511089;88584
732;487859;89950
733;412958;108770
734;455605;122293
736;474868;111673
737;446831;113727
738;446684;113551
739;446689;113686
740;446866;113663
741;446816;113705
742;446944;113753
743;446827;113765
744;446810;113674
745;446842;113765
746;412164;64818
747;526990;76037
748;540696;120210
749;470281;92524
750;412094;64775
751;458557;109538
752;458938;109674
753;388395;96606
754;540524;145330
755;541730;144722
756;514613;87082
757;431794;73421
758;480232;127227
759;532218;129525
760;410692;76188
761;552213;131443
762;415341;72897
763;406328;86040
764;438678;56270
765;398574;79650
766;402497;115320
767;411190;68745
768;411013;68458
769;435903;46908
770;482513;148854
771;482372;148891
772;504110;111503
773;504597;111652
774;503824;111861
775;504335;113528
776;500742;84769
777;403667;140752
778;580262;151209
779;580998;150831
780;441933;47932
781;491718;116060
782;570265;162320
783;409273;37648
784;447251;135896
785;447131;135660
786;447401;135730
787;467819;120902
788;466585;121149
789;510232;147856
790;469913;81490
791;601521;164663
792;566890;139754
793;613000;158665
794;410579;126493
795;490695;79709
796;488572;108951
797;508827;134751
798;459121;125418
799;585761;142319
800;585813;142256
801;603331;159715
802;482192;100433
803;472251;76719
804;545039;83054
805;410985;80843
806;518125;70095
807;428271;69872
808;446300;90528
809;589764;161579
810;506386;91862
811;541271;157578
812;520039;35647
813;520397;35060
814;520261;35223
815;521889;81343
816;516412;54090
817;419772;78501
818;419848;78422
819;411966;82457
820;387059;93008
821;486570;89372
822;490348;74024
823;467837;82060
824;439145;109505
825;455386;125351
826;530757;106038
827;523094;137601
828;480501;90196
829;480523;89722
830;480532;90060
831;455472;94882
832;461488;116430
833;394648;97724
834;399564;85154
835;400601;115198
836;402986;74095
837;491324;109150
838;527552;99473
839;434889;138534
840;434801;138555
841;424742;57384
842;480530;92497
843;445843;91545
844;445692;91288
845;445563;91809
846;450442;86439
847;445965;91626
848;445877;91596
849;446064;91580
850;416835;55647
851;419529;80461
852;395842;120906
853;407997;85998
854;443604;97804
855;405690;145015
856;555976;163787
857;513064;161428
858;422001;89517
859;437221;72323
860;418350;130396
861;473248;105622
862;417152;114181
863;567537;150781
864;431596;138748
865;499697;142848
866;477434;79297
867;477279;79291
868;477536;79300
869;448100;72205
870;418772;79574
872;445296;124337
873;444512;124505
874;483229;88433
875;490644;99910
876;490704;160992
877;528186;165956
878;527617;165386
879;418693;142818
880;472131;92823
881;462815;140250
882;462568;138321
883;463893;140312
884;462622;140800
885;473328;118824
886;545543;129208
887;498706;111858
888;513644;141285
889;531551;137084
890;464258;103058
891;464238;102925
892;513277;123089
893;513240;123102
894;591372;150358
895;435032;119560
896;434798;119400
897;467635;86474
898;455727;68454
899;528603;37631
900;403979;38436
901;403610;38422
902;494897;76287
903;494860;76219
904;431472;136654
905;431728;136589
906;430960;135392
907;452346;125611
908;476033;113984
909;438414;130556
910;493348;40490
911;450632;121677
912;450686;121852
913;398518;91664
914;443497;93065
915;463134;100985
916;462060;100373
917;461942;100863
918;462975;101233
919;461541;100945
920;388601;43517
921;402103;148979
922;526712;56467
923;495120;68818
924;516504;77798
925;469720;123875
926;511827;48651
927;446848;113794
928;488189;100004
929;578993;158623
930;577683;158996
931;578764;165880
932;580654;160115
933;573887;163752
934;578493;163458
935;574008;162160
936;573156;165365
937;577024;163016
938;578353;163015
939;580441;159410
940;576380;161118
941;580071;163361
942;579406;157231
943;576303;163353
944;577403;156653
945;578722;158857
946;580250;167020
947;582662;164800
948;575603;160647
949;572604;166296
950;576534;165293
951;580467;165646
952;581134;164597
953;580667;162045
954;574690;162107
955;577211;158378
956;515178;73400
957;578796;158840
958;579602;164419
959;572138;163300
960;580317;166961
961;579471;156687
962;578779;158791
963;581865;162193
964;576596;162723
965;575786;167546
966;579448;164720
967;576822;166393
968;576246;166177
969;580720;166409
970;579982;166235
971;580405;158500
972;576337;157400
973;575327;167690
974;579690;160938
975;473800;123797
976;473982;108247
977;480551;110201
978;514922;122258
979;496596;122186
980;474657;113178
981;478901;109283
982;579682;160963
983;577118;161012
984;577080;160980
985;574924;159258
986;577014;165914
987;579841;164453
988;579718;164178
989;580660;163492
990;578881;164784
991;507440;143304
992;577664;157133
993;576902;157260
994;576872;157277
995;575551;161858
996;575569;161818
997;578942;156904
998;578242;157183
999;578810;159004
1000;579203;159140
1001;577108;158058
1002;582776;164186
1003;575721;158333
1004;577549;162118
1005;577858;159060
1006;578672;158849
1007;575595;167695
1008;577485;156757
1009;579428;156699
1010;560697;159284
1011;573763;156837
1012;568364;163449
1013;572034;159328
1014;570705;157396
1015;569137;166347
1016;566321;157056
1017;574395;158710
1018;571489;166009
1019;568049;161202
1020;568559;161150
1021;568926;161820
1022;569539;158910
1023;569448;159227
1024;562461;163941
1025;564988;160927
1026;565319;160759
1027;566939;160153
1028;568008;157192
1029;568658;158420
1030;561549;157266
1031;563711;157830
1032;568934;164800
1033;561946;159667
1034;566277;164539
1035;566120;165256
1036;560210;156911
1037;563976;162739
1038;563176;161335
1039;564540;164546
1040;567509;159466
1041;564017;159446
1042;562905;155991
1043;572648;155975
1044;572656;154886
1045;573932;156765
1046;567336;164859
1047;568497;164030
1048;571811;159407
1049;570142;158380
1050;565860;155936
1051;565736;156217
1052;470363;120056
1053;509699;123481
1054;565313;156461
1055;569737;160894
1056;566298;159116
1057;568502;158752
1058;565408;160852
1059;568593;164723
1060;568571;164557
1061;561803;159509
1062;565489;164095
1063;561746;158382
1064;569121;159027
1065;567795;161746
1066;563660;164837
1067;573211;155273
1068;568534;163121
1069;572662;158392
1070;564637;158479
1071;572714;158655
1072;563077;153975
1073;571865;157005
1074;564591;155699
1075;558871;159359
1076;560687;159768
1077;559564;159242
1078;559773;158343
1079;564517;155563
1080;562943;154723
1081;561589;156909
1082;567551;159855
1083;567051;162441
1084;571218;158183
1085;571330;158080
1086;573960;160131
1087;573702;158621
1088;560653;158237
1089;559310;158522
1090;569089;160157
1091;574987;156575
1092;568330;157166
1093;568599;157067
1094;562948;164095
1095;561752;163138
1096;563265;154868
1097;586423;146838
1098;565223;155727
1099;563758;155261
1100;561986;155606
1101;560609;155945
1102;568304;159719
1103;603840;161737
1104;599798;159372
1105;611817;161490
1106;611125;160867
1107;615909;155832
1108;602334;162841
1109;608945;158992
1110;601898;157485
1111;498277;95033
1112;493398;113951
1113;494554;112672
1114;494418;111628
1115;490847;113412
1116;463497;103720
1117;467159;100950
1118;464085;100780
1119;464619;101488
1120;471639;113153
1121;485227;114639
1123;488020;111046
1124;507186;121227
1125;507623;121410
1126;504653;122010
1127;610428;158497
1128;611152;158212
1129;604754;161429
1130;605210;162787
1131;608705;158443
1132;601571;167496
1133;612803;156497
1134;601156;165155
1135;611698;158989
1136;602971;162489
1137;613957;155237
1138;607746;159007
1139;607557;157666
1140;600314;162741
1141;607000;159768
1142;611417;156650
1143;601863;165523
1144;601626;164510
1145;599690;159009
1146;604647;157155
1147;603488;159780
1148;614488;157480
1149;614833;157636
1150;602814;163549
1151;598576;160815
1152;612559;154823
1153;617145;154657
1154;612596;156451
1155;601460;164839
1156;601002;165373
1157;614717;157573
1158;608050;165005
1159;614667;156800
1160;607831;165079
1161;604427;156764
1162;604497;156957
1163;603192;163870
1164;617150;154661
1165;617288;155555
1166;616614;155966
1167;599342;166715
1168;599327;166722
1169;600844;165888
1170;601139;165807
1171;601199;165413
1172;603125;159942
1173;605999;159963
1174;602940;164252
1175;598419;157096
1176;600867;160982
1177;601050;165360
1178;598214;160854
1179;612124;155048
1180;593331;157048
1181;584080;158677
1182;585013;155220
1183;600815;153640
1184;587646;158880
1185;583327;155749
1186;590938;159751
1187;581364;153764
1188;593692;156385
1189;589439;160412
1190;591003;156041
1191;590257;158935
1192;592393;158979
1193;586564;156702
1194;587694;156046
1195;591314;155854
1196;588603;156045
1197;588666;155769
1198;587822;158297
1199;587801;158311
1200;598543;153751
1201;585386;161151
1202;599795;153666
1203;587807;158292
1204;587774;158309
1205;590788;155072
1206;583590;154201
1207;598492;153859
1208;586203;160135
1209;584585;162481
1210;586647;159707
1211;588162;157548
1212;587603;156820
1213;579045;153443
1214;580641;153525
1215;581678;156833
1216;581629;156850
1217;581399;156902
1218;586918;154922
1219;584425;156884
1220;592208;158241
1221;580579;153743
1222;580541;153261
1223;579000;153432
1224;578861;153367
1225;578490;153221
1226;578488;153206
1227;594425;156694
1228;590505;155479
1229;590843;155421
1230;585078;156512
1231;583955;155603
1232;585247;155856
1233;595648;156989
1234;580362;154963
1235;598356;153876
1236;588224;163989
1237;591839;163453
1238;591149;163304
1239;592585;161469
1240;586412;165430
1241;586288;167890
1242;597958;169361
1243;592113;164943
1244;597768;163893
1245;595022;163231
1246;588574;165174
1247;589689;163026
1248;585251;168365
